,Pclass,Age,SibSp,Parch,Fare,Cabin,Title_ Master,Title_ Miss,Title_ Mr,Title_ Mrs,Title_others,Sex_female,Sex_male,Embarked_0,Embarked_1,Embarked_2,Pclass_1,Pclass_2,Pclass_3,Isalone
20,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
21,2,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
22,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
23,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
24,3,0,3,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
25,3,1,1,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
26,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
27,1,1,3,2,2,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
28,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
29,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
30,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1.0
31,1,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0
32,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
33,2,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
34,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0
35,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
36,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
37,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
38,3,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
39,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.0
40,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
41,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0
42,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
43,2,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0
44,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
45,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
46,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0
47,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
48,3,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0
49,3,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
50,3,0,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0
51,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
52,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0
53,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0
54,1,2,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0
55,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
56,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0
57,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
58,2,0,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0
59,3,0,3,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0
60,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
61,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1.0
62,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
63,3,0,3,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0
64,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1.0
65,3,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0.0
66,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1.0
67,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
68,3,0,3,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
69,3,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
70,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
71,3,0,3,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
72,2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
73,3,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0
74,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
75,3,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
76,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
77,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
78,2,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0.0
79,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
80,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
81,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
82,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
83,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
84,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0
85,3,1,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
86,3,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
87,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
88,1,1,3,2,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.0
89,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
90,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
91,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
92,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
93,3,1,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
94,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
95,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
96,1,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1.0
97,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0
98,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0
99,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.0
100,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
101,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
102,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
103,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
104,3,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
105,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
106,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
107,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
108,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
109,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0.0
110,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
111,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.0
112,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
113,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
114,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1.0
115,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
116,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0
117,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.0
118,1,1,0,1,2,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0
119,3,0,3,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
120,2,1,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.0
121,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
122,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.0
123,2,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0
124,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
125,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0.0
126,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0
127,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
128,3,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0.0
129,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
130,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
131,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
132,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
133,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0
134,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
135,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1.0
136,1,1,0,2,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.0
137,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
138,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
139,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1.0
140,3,1,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0
141,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
142,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
143,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0
144,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
145,2,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.0
146,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
147,3,0,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
148,2,1,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0.0
149,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1.0
150,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1.0
151,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.0
152,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
153,3,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
154,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
155,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0
156,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
157,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
158,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
159,3,1,3,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0
160,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
161,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1.0
162,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
163,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
164,3,0,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0
165,3,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0
166,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.0
167,3,1,1,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
168,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
169,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
170,1,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
171,3,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.0
172,3,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
173,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
174,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1.0
175,3,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
176,3,1,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0
177,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1.0
178,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
179,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
180,3,1,3,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
181,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1.0
182,3,0,3,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0
183,2,0,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0.0
184,3,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
185,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
186,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.0
187,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
188,3,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0
189,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
190,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1.0
191,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
192,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
193,2,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0.0
194,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1.0
195,1,1,0,0,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1.0
196,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0
197,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
198,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
199,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0
200,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
201,3,1,3,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
202,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
203,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
204,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
205,3,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
206,3,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
207,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
208,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
209,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1.0
210,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
211,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0
212,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
213,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
214,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0
215,1,1,1,0,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.0
216,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
217,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.0
218,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1.0
219,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
220,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
221,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
222,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
223,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
224,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
225,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
226,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
227,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
228,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
229,3,1,3,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
230,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.0
231,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
232,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
233,3,0,3,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
234,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
235,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
236,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.0
237,2,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0
238,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
239,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
240,3,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.0
241,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0.0
242,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
243,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
244,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
245,1,1,2,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0.0
246,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
247,2,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0
248,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
249,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.0
250,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
251,3,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
252,1,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
253,3,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
254,3,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
255,3,1,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0
256,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1.0
257,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1.0
258,1,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1.0
259,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0
260,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0
261,3,0,3,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0
262,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
263,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
264,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
265,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
266,3,0,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
267,3,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
268,1,1,0,1,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.0
269,1,1,0,0,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1.0
270,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
271,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
272,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0
273,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.0
274,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
275,1,2,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.0
276,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
277,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
278,3,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.0
279,3,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
280,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0
281,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
282,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
283,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
284,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
285,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
286,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
287,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
288,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
289,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
290,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1.0
291,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0
292,2,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1.0
293,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
294,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
295,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1.0
296,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1.0
297,1,0,1,2,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.0
298,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
299,1,1,0,1,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0
300,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.0
301,3,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0
302,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
303,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1.0
304,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
305,1,0,1,2,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0.0
306,1,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1.0
307,1,0,1,0,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0
308,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.0
309,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1.0
310,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1.0
311,1,0,2,2,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.0
